time, windspeed, humidity, temperature, status 
00:14,1.45,90,5.0,clear
00:36,1.48,90,5.0,clear
01:05,1.48,91,5.0,clear
01:32,1.34,91,5.0,clear
02:05,1.34,91,4.44,clear
02:32,1.22,91,3.89,clear
03:05,1.22,91,3.89,clear
03:32,1.27,91,3.33,clear
04:05,1.27,92,3.33,clear
04:32,1.25,92,3.33,clear
05:05,0.98,92,4.44,clear
05:32,1.66,93,6.11,clear
06:06,1.58,94,8.33,clear
06:32,2.26,86,9.44,clear
07:05,1.34,79,11.11,clear
07:32,2.62,76,12.22,clear
08:06,0.45,70,13.89,clear
08:32,2.59,64,14.44,clear
09:05,2.59,59,15.0,clear
09:32,2.43,59,15.56,clear
10:05,0.89,55,15.0,clear
10:32,0.45,53,16.11,clouds
11:05,2.71,47,16.11,clouds
11:32,0.89,48,16.67,clouds
12:07,2.64,48,17.22,clouds
12:32,2.89,47,17.78,clouds
13:05,1.79,45,18.33,clouds
13:32,3.58,37,18.89,clouds
14:05,1.34,41,18.33,clouds
14:32,3.44,40,18.33,clouds
15:05,3.13,39,18.89,clouds
15:32,0.89,39,18.89,clouds
16:05,0.89,39,18.89,clouds
16:32,0.89,40,18.89,1024,0,0,25,clouds
17:05,1.89,39,19.44,1024,0,0,25,clouds
17:32,2.68,45,15.38,1030,0,0,21,clouds
18:05,1.56,44,18.33,1024,0,0,21,clouds
18:32,0.7,49,16.11,1023,0,0,5,clear
19:05,0.7,55,14.44,1023,0,0,5,clear
19:32,0.92,62,12.22,1023,0,0,3,clear
20:06,1.07,67,11.11,1024,0,0,1,clear
20:32,1.41,70,10.56,1024,0,0,4,clear
21:05,1.41,74,10.0,1023,0,0,4,clear
21:32,1.24,75,10.0,1024,0,0,27,clouds
22:05,1.24,76,10.0,1023,0,0,27,clouds
22:32,1.17,77,9.44,1023,0,0,42,clouds
23:05,1.17,77,9.44,1023,0,0,42,clouds
