time, windspeed, humidity, temperature, status 
00:14,3.08,89,6.24,clear
00:36,3.26,89,6.08,clear
01:05,3.26,90,5.91,clear
01:32,3.26,89,5.68,clear
02:05,3.27,90,6.72,clear
02:32,2.89,91,7.29,clear
03:05,2.89,91,7.29,clear
03:32,2.61,90,7.3,clear
04:05,2.61,91,5.71,clear
04:32,2.39,91,6.21,clear
05:05,2.12,91,8.03,clear
05:32,2.54,92,9.32,clear
06:06,2.54,87,11.32,clear
06:32,0.45,80,11.78,clear
07:05,0.45,76,12.49,clear
07:32,2.87,72,13.44,clear
08:06,2.87,70,14.37,clear
08:32,2.62,64,15.35,rain
09:05,2.62,62,15.73,rain
09:32,2.62,60,16.09,rain
10:05,2.42,69,15.36,clouds
10:32,2.38,55,16.36,clouds
11:05,2.38,53,16.71,clouds
11:32,2.39,52,16.6,clouds
12:07,2.39,48,16.49,clouds
12:32,2.39,49,17.33,clouds
13:05,3.02,47,16.48,clouds
13:32,3.32,48,16.84,clouds
14:05,3.32,46,17.81,clouds
14:32,3.44,43,17.21,rain
15:05,3.44,45,16.67,rain
15:32,3.44,47,16.84,rain
16:05,2.76,49,17.79,rain
16:32,2.76,49,17.57,1027,{'1h': 0.44},0,25,rain
17:05,1.74,57,16.41,1027,{'1h': 0.28},0,20,rain
