time, windspeed, humidity, temperature, status 
07:33,1.5,71,12.42,clouds
08:05,1.5,71,12.74,clouds
08:32,1.5,71,12.75,clouds
09:05,2.1,71,12.46,rain
09:32,2.1,76,12.34,rain
10:05,2.1,71,13.77,clouds
10:32,2.6,62,14.53,clouds
11:05,3.1,58,14.69,clouds
11:32,3.1,51,15.0,clouds
12:06,2.1,51,15.2,clouds
12:32,2.1,51,15.39,clouds
13:05,2.1,47,16.59,clouds
13:32,2.1,48,16.69,clouds
14:05,2.1,48,17.24,clouds
14:32,2.6,45,17.12,clouds
15:05,1,58,16.17,rain
15:32,2.1,58,15.77,clouds
16:05,2.1,48,15.77,clouds
