time, windspeed, humidity, temperature, status 
07:33,3.1,93,11.47,clouds
08:05,1.34,77,12.53,rain
08:32,1.34,80,12.46,rain
09:05,4.1,87,12.73,clouds
09:32,2.6,76,12.48,rain
10:05,2.1,71,13.73,rain
10:32,2.6,67,14.69,clouds
11:05,2.24,63,15.3,rain
11:32,2.6,71,15.47,clouds
12:06,1.79,59,16.57,rain
12:32,3.1,62,16.4,clouds
13:05,1.79,57,16.7,rain
13:32,3.6,51,16.47,clouds
14:05,4.6,48,16.84,clouds
14:32,4.1,48,16.99,clouds
15:05,4.1,48,17.59,clouds
15:32,4.6,45,15.46,clouds
16:05,1.79,54,17.63,clear
16:32,4.1,45,17.55,clouds
17:05,1.79,55,17.08,clear
17:32,3.1,48,16.68,clouds
18:05,1.34,58,15.95,clear
18:32,3.1,51,15.06,clear
19:05,0.45,76,13.12,clear
19:32,1.5,58,12.09,clouds
20:06,2.41,81,10.73,clear
