time, windspeed, humidity, temperature, status 
00:14,1.33,95,7.4,clear
00:36,1.38,96,6.85,clouds
01:05,1.38,96,6.67,clouds
01:32,1.32,87,6.47,clouds
02:05,1.32,62,6.31,clouds
02:32,1.3,96,6.11,clouds
03:05,1.3,89,5.93,clouds
03:32,1.27,87,5.74,clouds
04:05,1.26,88,5.94,clouds
04:32,1.07,97,6.3,clouds
05:05,1.07,69,7.4,clouds
05:32,1.41,81,9.09,clouds
06:06,0.89,74,9.46,clouds
06:32,1.79,72,10.56,clouds
07:05,1.93,77,12.62,clouds
07:32,2.67,78,15.19,clouds
08:06,1.34,46,16.47,clouds
08:32,0.45,65,16.3,clouds
09:05,0.89,54,17.4,clouds
09:32,1.79,53,17.95,clouds
10:05,1.34,57,17.78,clouds
10:32,0.89,58,17.96,clouds
11:05,2.51,60,18.9,clouds
11:32,1.34,49,19.08,clouds
12:07,0.89,54,19.81,clouds
